SCT/SCT111+1.p, Unsat
LAT/LAT339+3.p, Unsat
CSR/CSR040+1.p, Unsat
LCL/LCL459+1.p, Unsat
SWC/SWC121+1.p, Unsat
CSR/CSR011+1.p, Unsat
SET/SET105+1.p, Unsat
NUN/NUN073+2.p, Unsat
GEO/GEO623+1.p, Unsat
RNG/RNG126+1.p, Unsat
LAT/LAT301+3.p, Unsat
NUM/NUM343+1.p, Unsat
CSR/CSR094+7.p, Unsat
CSR/CSR030+4.p, Unsat
NUN/NUN076+2.p, Unsat
ALG/ALG233+1.p, Unsat
KRS/KRS143+1.p, Unsat
SYO/SYO597+1.p, Unsat
SWW/SWW472+5.p, Unsat
CSR/CSR059+2.p, Unsat
LCL/LCL899+1.p, Unsat
SEU/SEU210+2.p, Unsat
NLP/NLP011+1.p, Unsat
CSR/CSR098+5.p, Unsat
SWW/SWW922+1.p, Unsat
CSR/CSR106+7.p, Unsat
SEU/SEU410+4.p, Unsat
GRP/GRP624+2.p, Unsat
CSR/CSR178+1.p, Unsat
CSR/CSR115+81.p, Unsat
SWW/SWW884+1.p, Unsat
CSR/CSR115+48.p, Unsat
SWV/SWV140+1.p, Unsat
CSR/CSR035+6.p, Unsat
LAT/LAT340+3.p, Unsat
LAT/LAT285+2.p, Unsat
SYN/SYN377+1.p, Unsat
LCL/LCL541+1.p, Unsat
NUM/NUM549+3.p, Unsat
GRP/GRP623+4.p, Unsat
SET/SET715+4.p, Unsat
CSR/CSR084+6.p, Unsat
GEO/GEO516+1.p, Unsat
SWC/SWC193+1.p, Unsat
CSR/CSR038+5.p, Unsat
CSR/CSR113+16.p, Unsat
NUM/NUM614+1.p, Unsat
LAT/LAT351+2.p, Unsat
SEU/SEU383+1.p, Unsat
NUM/NUM589+3.p, Unsat
SEU/SEU434+4.p, Unsat
RNG/RNG066+2.p, Unsat
NUM/NUM510+3.p, Unsat
GEO/GEO477+1.p, Unsat
CSR/CSR034+2.p, Unsat
ALG/ALG150+1.p, Unsat
ALG/ALG051+1.p, Unsat
SEU/SEU245+2.p, Unsat
SWB/SWB044+1.p, Unsat
NUM/NUM394+1.p, Unsat
LCL/LCL484+1.p, Unsat
NUM/NUM460+1.p, Unsat
SWV/SWV191+1.p, Unsat
SCT/SCT165+1.p, Unsat
CSR/CSR044+4.p, Unsat
SET/SET619+3.p, Unsat
SWV/SWV234+1.p, Unsat
SEU/SEU436+4.p, Unsat
NLP/NLP261+1.p, Unsat
SEU/SEU124+1.p, Unsat
CSR/CSR080+4.p, Unsat
NUM/NUM590+1.p, Unsat
GEO/GEO491+1.p, Unsat
CSR/CSR115+6.p, Unsat
GEO/GEO282+1.p, Unsat
LAT/LAT343+2.p, Unsat
SYN/SYN440+1.p, Unsat
SWW/SWW222+1.p, Unsat
LAT/LAT335+3.p, Unsat
RNG/RNG089+2.p, Unsat
SWV/SWV112+1.p, Unsat
CSR/CSR251+1.p, Unsat
NUM/NUM595+1.p, Unsat
GEO/GEO220+1.p, Unsat
SWV/SWV236+1.p, Unsat
CSR/CSR092+5.p, Unsat
RNG/RNG119+4.p, Unsat
SWW/SWW313+1.p, Unsat
SWB/SWB009+2.p, Unsat
NUM/NUM476+2.p, Unsat
LCL/LCL662+1.010.p, Unsat
KRS/KRS147+1.p, Unsat
SEU/SEU225+2.p, Unsat
SWV/SWV053+1.p, Unsat
CSR/CSR104+6.p, Unsat
SWB/SWB007+2.p, Unsat
LAT/LAT296+1.p, Unsat
ALG/ALG163+1.p, Unsat
CSR/CSR116+45.p, Unsat
SWW/SWW374+1.p, Unsat
LAT/LAT322+1.p, Unsat
LCL/LCL660+1.005.p, Unsat
SWV/SWV198+1.p, Unsat
SWC/SWC114+1.p, Unsat
ALG/ALG231+3.p, Unsat
SEU/SEU219+2.p, Unsat
SET/SET657+3.p, Unsat
NUM/NUM835+1.p, Unsat
SYN/SYN036+1.p, Unsat
ALG/ALG183+1.p, Unsat
SCT/SCT148+1.p, Unsat
SEU/SEU096+1.p, Unsat
SYN/SYN949+1.p, Unsat
NUN/NUN082+2.p, Unsat
GEO/GEO213+2.p, Unsat
SEU/SEU288+2.p, Unsat
KRS/KRS150+1.p, Unsat
GRP/GRP618+1.p, Unsat
NUM/NUM517+1.p, Unsat
SWC/SWC382+1.p, Unsat
SWC/SWC233+1.p, Unsat
GEO/GEO272+1.p, Unsat
SEU/SEU165+2.p, Unsat
TOP/TOP039+2.p, Unsat
SWC/SWC236+1.p, Unsat
NUM/NUM923+7.p, Unsat
SEU/SEU189+1.p, Unsat
TOP/TOP023+3.p, Unsat
NUN/NUN092+2.p, Unsat
GRP/GRP653+2.p, Unsat
CSR/CSR088+5.p, Unsat
CSR/CSR066+1.p, Unsat
SWW/SWW363+1.p, Unsat
ALG/ALG125+1.p, Unsat
SWV/SWV395+1.p, Unsat
NUM/NUM750+4.p, Unsat
GEO/GEO247+3.p, Unsat
NUM/NUM594+1.p, Unsat
SWC/SWC367+1.p, Unsat
KRS/KRS280+1.p, Unsat
SET/SET635+3.p, Unsat
SEU/SEU134+2.p, Unsat
KLE/KLE091+1.p, Unsat
GEO/GEO479+1.p, Unsat
SWB/SWB012+3.p, Unsat
SET/SET654+3.p, Unsat
GRP/GRP659+1.p, Unsat
SWC/SWC354+1.p, Unsat
NUM/NUM592+1.p, Unsat
CSR/CSR100+7.p, Unsat
NUM/NUM627+1.p, Unsat
ALG/ALG152+1.p, Unsat
SET/SET681+3.p, Unsat
SWW/SWW958+1.p, Unsat
SYN/SYN411+1.p, Unsat
NUM/NUM784+4.p, Unsat
ALG/ALG193+1.p, Unsat
SWC/SWC412+1.p, Unsat
LCL/LCL891+1.p, Unsat
SET/SET595+3.p, Unsat
TOP/TOP032+2.p, Unsat
GRP/GRP625+3.p, Unsat
SEU/SEU448+3.p, Unsat
REL/REL050+2.p, Unsat
LAT/LAT321+2.p, Unsat
SYN/SYN498+1.p, Unsat
GEO/GEO611+1.p, Unsat
SWC/SWC375+1.p, Unsat
SEU/SEU213+3.p, Unsat
HWV/HWV047+2.p, Unsat
NUM/NUM618+1.p, Unsat
SEU/SEU081+1.p, Unsat
GEO/GEO640+1.p, Unsat
SYN/SYN041+1.p, Unsat
HWV/HWV095+1.p, Unsat
ALG/ALG104+1.p, Unsat
SET/SET627+3.p, Unsat
SEU/SEU204+2.p, Unsat
SEU/SEU302+2.p, Unsat
NUM/NUM412+1.p, Unsat
PUZ/PUZ130+1.p, Unsat
SWC/SWC378+1.p, Unsat
MGT/MGT002+1.p, Unsat
GEO/GEO214+2.p, Unsat
SWV/SWV157+1.p, Unsat
SWC/SWC351+1.p, Unsat
NUM/NUM567+1.p, Unsat
SEU/SEU430+2.p, Unsat
LAT/LAT318+3.p, Unsat
LCL/LCL523+1.p, Unsat
REL/REL017+2.p, Unsat
SWW/SWW351+1.p, Unsat
CSR/CSR054+4.p, Unsat
CSR/CSR191+1.p, Unsat
CSR/CSR078+6.p, Unsat
SET/SET776+4.p, Unsat
LAT/LAT328+4.p, Unsat
GEO/GEO234+1.p, Unsat
GEO/GEO454+1.p, Unsat
SWW/SWW928+1.p, Unsat
CSR/CSR032+2.p, Unsat
NUM/NUM926+3.p, Unsat
SWC/SWC164+1.p, Unsat
SET/SET874+1.p, Unsat
SWV/SWV149+1.p, Unsat
SYN/SYN318+1.p, Unsat
SWB/SWB021+1.p, Unsat
CSR/CSR116+17.p, Unsat
CSR/CSR082+4.p, Unsat
LAT/LAT340+4.p, Unsat
SEU/SEU234+3.p, Unsat
RNG/RNG086+1.p, Unsat
NUM/NUM526+1.p, Unsat
CSR/CSR095+3.p, Unsat
NUM/NUM789+4.p, Unsat
SWC/SWC020+1.p, Unsat
CSR/CSR113+18.p, Unsat
ALG/ALG015+1.p, Unsat
GEO/GEO204+2.p, Unsat
SWW/SWW244+1.p, Unsat
GEO/GEO273+1.p, Unsat
HWV/HWV047+1.p, Unsat
GEO/GEO308+1.p, Unsat
SWB/SWB048+1.p, Unsat
COM/COM124+1.p, Unsat
KRS/KRS140+1.p, Unsat
SEU/SEU419+1.p, Unsat
SEU/SEU367+1.p, Unsat
LAT/LAT302+3.p, Unsat
GRP/GRP629+4.p, Unsat
HWV/HWV100+1.p, Unsat
SCT/SCT146+1.p, Unsat
CSR/CSR240+1.p, Unsat
GRP/GRP666+1.p, Unsat
SYN/SYN323+1.p, Unsat
LAT/LAT322+3.p, Unsat
SEU/SEU199+2.p, Unsat
PRO/PRO018+4.p, Unsat
SWW/SWW270+1.p, Unsat
SEU/SEU418+3.p, Unsat
SYN/SYN967+1.p, Unsat
LCL/LCL658+1.001.p, Unsat
NUM/NUM506+1.p, Unsat
SWW/SWW199+1.p, Unsat
CSR/CSR001+2.p, Unsat
LAT/LAT370+1.p, Unsat
KLE/KLE001+1.p, Unsat
LCL/LCL686+1.010.p, Unsat
LAT/LAT308+4.p, Unsat
GEO/GEO085+1.p, Unsat
SCT/SCT127+1.p, Unsat
CSR/CSR090+4.p, Unsat
GEO/GEO318+1.p, Unsat
NUM/NUM544+1.p, Unsat
KRS/KRS109+1.p, Unsat
KLE/KLE044+2.p, Unsat
SWV/SWV082+1.p, Unsat
REL/REL014+1.p, Unsat
SET/SET706+4.p, Unsat
SET/SET199+4.p, Unsat
CSR/CSR096+1.p, Unsat
NUM/NUM434+3.p, Unsat
GEO/GEO296+1.p, Unsat
SWV/SWV027+1.p, Unsat
GEO/GEO630+1.p, Unsat
GEO/GEO208+3.p, Unsat
SEU/SEU151+3.p, Unsat
CSR/CSR042+1.p, Unsat
LAT/LAT319+1.p, Unsat
SWW/SWW266+1.p, Unsat
SWW/SWW228+1.p, Unsat
AGT/AGT007+2.p, Unsat
RNG/RNG076+1.p, Unsat
HWV/HWV094+1.p, Unsat
SYN/SYN478+1.p, Unsat
NUM/NUM787+4.p, Unsat
SWC/SWC035+1.p, Unsat
SYN/SYN986+1.001.p, Unsat
SWC/SWC119+1.p, Unsat
NLP/NLP147+1.p, Unsat
SEU/SEU354+2.p, Unsat
SEU/SEU208+2.p, Unsat
TOP/TOP040+1.p, Unsat
ALG/ALG113+1.p, Unsat
NUM/NUM488+1.p, Unsat
NUM/NUM482+3.p, Unsat
CSR/CSR071+1.p, Unsat
GEO/GEO610+1.p, Unsat
GEO/GEO636+1.p, Unsat
SEU/SEU450+4.p, Unsat
NUM/NUM648+4.p, Unsat
SET/SET798+4.p, Unsat
KLE/KLE108+1.p, Unsat
LAT/LAT377+3.p, Unsat
CSR/CSR107+6.p, Unsat
SCT/SCT124+1.p, Unsat
SET/SET629+3.p, Unsat
CSR/CSR034+1.p, Unsat
CSR/CSR108+4.p, Unsat
PUZ/PUZ128+2.p, Unsat
LCL/LCL531+1.p, Unsat
SET/SET675+3.p, Unsat
LCL/LCL525+1.p, Unsat
CSR/CSR057+3.p, Unsat
SYN/SYN408+1.p, Unsat
NUM/NUM687+4.p, Unsat
SWW/SWW474+5.p, Unsat
LAT/LAT283+3.p, Unsat
LAT/LAT334+3.p, Unsat
GRP/GRP635+3.p, Unsat
SCT/SCT162+1.p, Unsat
LAT/LAT379+3.p, Unsat
SEU/SEU291+2.p, Unsat
SEU/SEU138+2.p, Unsat
LAT/LAT309+4.p, Unsat
SWC/SWC290+1.p, Unsat
TOP/TOP041+1.p, Unsat
NUM/NUM510+1.p, Unsat
SEU/SEU235+2.p, Unsat
NUM/NUM857+1.p, Unsat
SET/SET592+3.p, Unsat
NUM/NUM856+1.p, Unsat
NUM/NUM290+1.p, Unsat
NUM/NUM649+4.p, Unsat
SWV/SWV188+1.p, Unsat
SET/SET597+3.p, Unsat
LCL/LCL658+1.015.p, Unsat
CSR/CSR091+2.p, Unsat
ALG/ALG223+2.p, Unsat
SYN/SYN362+1.p, Unsat
SYN/SYN966+1.p, Unsat
ALG/ALG194+1.p, Unsat
PRO/PRO002+4.p, Unsat
CSR/CSR108+7.p, Unsat
NUM/NUM923+4.p, Unsat
KLE/KLE038+1.p, Unsat
NUN/NUN077+1.p, Unsat
KLE/KLE129+1.p, Unsat
SYN/SYN400+1.p, Unsat
SEU/SEU303+1.p, Unsat
GEO/GEO604+1.p, Unsat
CSR/CSR074+3.p, Unsat
CSR/CSR050+2.p, Unsat
GEO/GEO172+2.p, Unsat
SEU/SEU233+3.p, Unsat
COM/COM023+1.p, Unsat
SWV/SWV390+1.p, Unsat
SEU/SEU075+1.p, Unsat
LAT/LAT288+2.p, Unsat
ITP/ITP008+1.p, Unsat
SYN/SYN403+1.p, Unsat
SEU/SEU212+3.p, Unsat
SWW/SWW478+1.p, Unsat
SEU/SEU212+2.p, Unsat
GRP/GRP642+2.p, Unsat
GEO/GEO188+1.p, Unsat
CAT/CAT033+4.p, Unsat
CSR/CSR061+2.p, Unsat
CSR/CSR077+3.p, Unsat
CSR/CSR250+1.p, Unsat
SET/SET916+1.p, Unsat
SET/SET069+1.p, Unsat
SEU/SEU271+1.p, Unsat
SET/SET717+4.p, Unsat
SET/SET879+1.p, Unsat
SEU/SEU419+2.p, Unsat
LAT/LAT362+2.p, Unsat
NUM/NUM430+1.p, Unsat
ALG/ALG079+1.p, Unsat
LCL/LCL688+1.005.p, Unsat
LAT/LAT378+4.p, Unsat
CSR/CSR064+3.p, Unsat
SWW/SWW264+1.p, Unsat
PRO/PRO003+4.p, Unsat
PRO/PRO002+1.p, Unsat
TOP/TOP029+3.p, Unsat
SWC/SWC265+1.p, Unsat
KLE/KLE023+2.p, Unsat
SWC/SWC087+1.p, Unsat
SEU/SEU232+2.p, Unsat
NUM/NUM527+3.p, Unsat
CSR/CSR029+5.p, Unsat
SET/SET143+4.p, Unsat
ALG/ALG217+2.p, Unsat
CSR/CSR046+6.p, Unsat
LCL/LCL648+1.001.p, Unsat
PRO/PRO014+2.p, Unsat
SEU/SEU430+1.p, Unsat
SET/SET803+4.p, Unsat
RNG/RNG117+1.p, Unsat
BOO/BOO109+1.p, Unsat
SEU/SEU311+2.p, Unsat
MED/MED003+1.p, Unsat
ALG/ALG161+1.p, Unsat
SWC/SWC406+1.p, Unsat
SWC/SWC143+1.p, Unsat
SWV/SWV049+1.p, Unsat
LAT/LAT343+1.p, Unsat
GRP/GRP640+3.p, Unsat
SET/SET119+1.p, Unsat
SWW/SWW308+1.p, Unsat
KLE/KLE075+1.p, Unsat
GEO/GEO334+1.p, Unsat
LAT/LAT368+2.p, Unsat
PLA/PLA035+1.p, Unsat
GRP/GRP639+1.p, Unsat
SWV/SWV491+4.p, Unsat
GEO/GEO566+1.p, Unsat
CSR/CSR116+6.p, Unsat
CSR/CSR036+4.p, Unsat
NUM/NUM840+1.p, Unsat
NUM/NUM924+1.p, Unsat
LCL/LCL668+1.010.p, Unsat
SWC/SWC190+1.p, Unsat
REL/REL023+1.p, Unsat
LAT/LAT338+4.p, Unsat
GEO/GEO237+1.p, Unsat
CSR/CSR115+71.p, Unsat
SET/SET016+4.p, Unsat
NUM/NUM493+1.p, Unsat
SWC/SWC338+1.p, Unsat
KRS/KRS175+1.p, Unsat
SWW/SWW353+1.p, Unsat
ALG/ALG081+1.p, Unsat
LCL/LCL640+1.010.p, Unsat
MGT/MGT011+1.p, Unsat
GEO/GEO472+1.p, Unsat
NUM/NUM305+1.p, Unsat
SYN/SYN051+1.p, Unsat
CSR/CSR013+1.p, Unsat
ALG/ALG222+2.p, Unsat
SWC/SWC092+1.p, Unsat
KRS/KRS179+1.p, Unsat
LAT/LAT282+3.p, Unsat
GEO/GEO505+1.p, Unsat
SWW/SWW216+1.p, Unsat
GEO/GEO113+1.p, Unsat
LCL/LCL682+1.020.p, Unsat
LCL/LCL450+2.p, Unsat
SWV/SWV095+1.p, Unsat
LCL/LCL638+1.020.p, Unsat
CSR/CSR115+90.p, Unsat
KLE/KLE144+1.p, Unsat
GEO/GEO656+1.p, Unsat
HAL/HAL001+1.p, Unsat
GEO/GEO251+3.p, Unsat
SWW/SWW356+1.p, Unsat
HWV/HWV056+1.p, Unsat
CSR/CSR116+24.p, Unsat
NUM/NUM431+1.p, Unsat
NUM/NUM521+1.p, Unsat
GEO/GEO176+2.p, Unsat
CSR/CSR076+3.p, Unsat
SWB/SWB010+2.p, Unsat
SEU/SEU346+1.p, Unsat
KRS/KRS130+1.p, Unsat
REL/REL041+1.p, Unsat
LAT/LAT335+4.p, Unsat
CAT/CAT026+1.p, Unsat
SWB/SWB030+2.p, Unsat
LAT/LAT308+3.p, Unsat
LCL/LCL674+1.010.p, Unsat
REL/REL049+1.p, Unsat
LAT/LAT329+3.p, Unsat
SWW/SWW333+1.p, Unsat
KRS/KRS101+1.p, Unsat
COM/COM018+1.p, Unsat
KLE/KLE094+1.p, Unsat
CSR/CSR090+2.p, Unsat
SWW/SWW211+1.p, Unsat
SEU/SEU450+3.p, Unsat
SWC/SWC117+1.p, Unsat
LAT/LAT336+2.p, Unsat
LCL/LCL656+1.010.p, Unsat
SEU/SEU132+1.p, Unsat
SYN/SYN927+1.p, Unsat
SEU/SEU121+2.p, Unsat
SWC/SWC153+1.p, Unsat
SEU/SEU193+2.p, Unsat
LAT/LAT367+2.p, Unsat
CSR/CSR213+1.p, Unsat
GEO/GEO179+3.p, Unsat
CSR/CSR025+4.p, Unsat
LCL/LCL470+1.p, Unsat
NUM/NUM633+1.p, Unsat
SEU/SEU161+3.p, Unsat
SCT/SCT167+1.p, Unsat
SEU/SEU194+1.p, Unsat
ALG/ALG061+1.p, Unsat
GRP/GRP660+2.p, Unsat
CSR/CSR053+2.p, Unsat
CSR/CSR049+5.p, Unsat
TOP/TOP045+4.p, Unsat
SET/SET596+3.p, Unsat
SET/SET969+1.p, Unsat
SEU/SEU274+1.p, Unsat
ALG/ALG201+1.p, Unsat
SWV/SWV408+1.p, Unsat
SWB/SWB083+1.p, Unsat
KRS/KRS291+1.p, Unsat
KLE/KLE078+1.p, Unsat
NUM/NUM854+1.p, Unsat
SET/SET795+4.p, Unsat
GEO/GEO185+2.p, Unsat
KLE/KLE018+1.p, Unsat
KRS/KRS154+1.p, Unsat
CAT/CAT032+4.p, Unsat
NUM/NUM467+2.p, Unsat
CSR/CSR081+2.p, Unsat
SYN/SYN321+1.p, Unsat
NUM/NUM730+4.p, Unsat
SYN/SYN506+1.p, Unsat
SET/SET936+1.p, Unsat
SEU/SEU307+1.p, Unsat
SEU/SEU427+2.p, Unsat
SWV/SWV069+1.p, Unsat
LCL/LCL682+1.010.p, Unsat
LCL/LCL575+1.p, Unsat
LAT/LAT358+2.p, Unsat
ITP/ITP002+4.p, Unsat
GRP/GRP647+4.p, Unsat
SWW/SWW196+1.p, Unsat
SYN/SYN974+1.p, Unsat
SCT/SCT128+1.p, Unsat
KLE/KLE154+2.p, Unsat
NUM/NUM512+3.p, Unsat
LCL/LCL472+1.p, Unsat
RNG/RNG073+2.p, Unsat
SWC/SWC413+1.p, Unsat
CSR/CSR037+4.p, Unsat
GEO/GEO457+1.p, Unsat
SYN/SYN978+1.p, Unsat
SYN/SYN334+1.p, Unsat
LCL/LCL511+1.p, Unsat
HWV/HWV055+1.p, Unsat
SWV/SWV462+1.p, Unsat
SWC/SWC122+1.p, Unsat
KLE/KLE016+2.p, Unsat
SWC/SWC194+1.p, Unsat
GEO/GEO451+1.p, Unsat
KLE/KLE155+2.p, Unsat
SEU/SEU441+1.p, Unsat
SYN/SYN722+1.p, Unsat
SWW/SWW473+6.p, Unsat
SET/SET096+1.p, Unsat
NUM/NUM557+3.p, Unsat
CSR/CSR219+1.p, Unsat
SET/SET950+1.p, Unsat
SEU/SEU265+1.p, Unsat
NUM/NUM502+1.p, Unsat
ALG/ALG072+1.p, Unsat
SEU/SEU426+2.p, Unsat
SWV/SWV449+1.p, Unsat
SET/SET900+1.p, Unsat
SWW/SWW393+1.p, Unsat
SWV/SWV133+1.p, Unsat
GEO/GEO124+1.p, Unsat
LCL/LCL664+1.015.p, Unsat
SEU/SEU031+1.p, Unsat
PUZ/PUZ078+1.p, Unsat
SWB/SWB029+1.p, Unsat
CSR/CSR029+4.p, Unsat
AGT/AGT013+1.p, Unsat
REL/REL047+1.p, Unsat
SEU/SEU139+2.p, Unsat
NUM/NUM538+2.p, Unsat
MGT/MGT055+1.p, Unsat
RNG/RNG054+1.p, Unsat
KLE/KLE142+2.p, Unsat
ITP/ITP019+2.p, Unsat
SWC/SWC415+1.p, Unsat
LAT/LAT349+4.p, Unsat
GEO/GEO203+3.p, Unsat
KLE/KLE024+2.p, Unsat
GEO/GEO184+2.p, Unsat
PRO/PRO008+4.p, Unsat
NUM/NUM516+3.p, Unsat
SEU/SEU407+2.p, Unsat
LAT/LAT360+2.p, Unsat
NUM/NUM924+5.p, Unsat
SEU/SEU322+2.p, Unsat
SWW/SWW949+1.p, Unsat
CSR/CSR032+4.p, Unsat
LAT/LAT331+4.p, Unsat
CSR/CSR035+3.p, Unsat
CSR/CSR115+88.p, Unsat
RNG/RNG092+2.p, Unsat
SWB/SWB030+1.p, Unsat
SCT/SCT171+7.p, Unsat
SWB/SWB014+3.p, Unsat
GEO/GEO246+1.p, Unsat
NUM/NUM433+3.p, Unsat
SWC/SWC374+1.p, Unsat
SWW/SWW471+2.p, Unsat
SWV/SWV185+1.p, Unsat
CSR/CSR088+7.p, Unsat
RNG/RNG059+1.p, Unsat
LCL/LCL529+1.p, Unsat
SYN/SYN457+1.p, Unsat
SWW/SWW223+1.p, Unsat
SET/SET997+1.p, Unsat
CSR/CSR009+1.p, Unsat
RNG/RNG051+1.p, Unsat
ITP/ITP008+4.p, Unsat
GEO/GEO176+1.p, Unsat
MED/MED009+1.p, Unsat
GEO/GEO644+1.p, Unsat
SWW/SWW850+1.p, Unsat
CSR/CSR095+5.p, Unsat
GEO/GEO522+1.p, Unsat
GEO/GEO577+1.p, Unsat
NUM/NUM550+3.p, Unsat
SWC/SWC352+1.p, Unsat
ALG/ALG122+1.p, Unsat
CSR/CSR115+43.p, Unsat
NUM/NUM453+1.p, Unsat
NUN/NUN081+1.p, Unsat
SWW/SWW306+1.p, Unsat
SEU/SEU226+1.p, Unsat
SWW/SWW858+1.p, Unsat
GRP/GRP640+1.p, Unsat
SEU/SEU207+1.p, Unsat
NUM/NUM429+1.p, Unsat
SWC/SWC225+1.p, Unsat
NUM/NUM487+1.p, Unsat
SWV/SWV234+2.p, Unsat
SWW/SWW475+1.p, Unsat
SYN/SYN461+1.p, Unsat
SET/SET800+4.p, Unsat
CSR/CSR115+15.p, Unsat
RNG/RNG097+1.p, Unsat
CSR/CSR092+6.p, Unsat
ITP/ITP021+2.p, Unsat
SET/SET727+4.p, Unsat
SWW/SWW198+1.p, Unsat
CSR/CSR076+4.p, Unsat
NUM/NUM483+1.p, Unsat
KLE/KLE072+1.p, Unsat
NLP/NLP252+1.p, Unsat
GEO/GEO579+1.p, Unsat
CSR/CSR115+22.p, Unsat
SYO/SYO592+1.p, Unsat
SET/SET614+3.p, Unsat
SET/SET678+3.p, Unsat
NUM/NUM739+4.p, Unsat
SWC/SWC411+1.p, Unsat
GEO/GEO325+1.p, Unsat
SWW/SWW372+1.p, Unsat
NUM/NUM450+6.p, Unsat
SYN/SYN937+1.p, Unsat
NUM/NUM565+1.p, Unsat
CSR/CSR091+4.p, Unsat
SET/SET992+1.p, Unsat
RNG/RNG060+2.p, Unsat
KRS/KRS264+1.p, Unsat
CSR/CSR248+1.p, Unsat
NUM/NUM925+2.p, Unsat
SCT/SCT157+1.p, Unsat
SEU/SEU217+2.p, Unsat
NUM/NUM631+1.p, Unsat
REL/REL045+1.p, Unsat
SWB/SWB086+1.p, Unsat
SWB/SWB031+1.p, Unsat
GRP/GRP683+1.p, Unsat
AGT/AGT018+2.p, Unsat
SYN/SYN979+1.p, Unsat
NUM/NUM684+4.p, Unsat
GRP/GRP641+3.p, Unsat
NUM/NUM751+4.p, Unsat
SEU/SEU264+1.p, Unsat
GEO/GEO639+1.p, Unsat
ALG/ALG181+1.p, Unsat
SWV/SWV415+1.p, Unsat
KRS/KRS095+1.p, Unsat
GEO/GEO506+1.p, Unsat
NUM/NUM294+1.p, Unsat
REL/REL016+2.p, Unsat
LAT/LAT298+4.p, Unsat
NUN/NUN059+2.p, Unsat
SEU/SEU444+3.p, Unsat
MED/MED007+1.p, Unsat
SYN/SYN955+1.p, Unsat
SWB/SWB012+2.p, Unsat
REL/REL004+3.p, Unsat
SWC/SWC144+1.p, Unsat
GEO/GEO490+1.p, Unsat
KLE/KLE027+4.p, Unsat
SWC/SWC136+1.p, Unsat
NUM/NUM587+1.p, Unsat
REL/REL029+1.p, Unsat
CSR/CSR057+2.p, Unsat
SEU/SEU137+1.p, Unsat
ALG/ALG218+3.p, Unsat
KRS/KRS082+1.p, Unsat
LAT/LAT323+1.p, Unsat
GEO/GEO298+1.p, Unsat
SET/SET809+4.p, Unsat
NUM/NUM666+4.p, Unsat
NUN/NUN083+2.p, Unsat
SWV/SWV213+1.p, Unsat
NUM/NUM317+1.p, Unsat
SWV/SWV209+1.p, Unsat
NUM/NUM578+3.p, Unsat
CSR/CSR004+1.p, Unsat
GRP/GRP633+3.p, Unsat
SWC/SWC361+1.p, Unsat
SYN/SYN050+1.p, Unsat
ITP/ITP011+2.p, Unsat
