NLP/NLP131+1.p, Sat
KRS/KRS213+1.p, Sat
KRS/KRS045+1.p, Sat
NLP/NLP243+1.p, Sat
LCL/LCL884+1.p, Sat
LAT/LAT385+1.p, Sat
SYO/SYO840+1.p, Sat
SWW/SWW942+1.p, Sat
NLP/NLP210+1.p, Sat
SYO/SYO751+1.p, Sat
SYO/SYO636+1.p, Sat
NLP/NLP165+1.p, Sat
SWB/SWB022+3.p, Sat
NLP/NLP198+1.p, Sat
NLP/NLP161+1.p, Sat
SYO/SYO791+1.p, Sat
LCL/LCL679+1.020.p, Sat
NLP/NLP101+1.p, Sat
SYO/SYO842+1.p, Sat
KRS/KRS225+1.p, Sat
GEO/GEO160+1.p, Sat
GEO/GEO259+3.p, Sat
SWV/SWV483+2.p, Sat
LCL/LCL689+1.001.p, Sat
NLP/NLP102+1.p, Sat
SWB/SWB007+3.p, Sat
CSR/CSR163+1.p, Sat
SYO/SYO710+1.p, Sat
CSR/CSR172+1.p, Sat
SYN/SYN493+1.p, Sat
SYO/SYO582+1.p, Sat
SYN/SYN523+1.p, Sat
NUM/NUM438+1.p, Sat
KRS/KRS244+1.p, Sat
NLP/NLP182+1.p, Sat
SYO/SYO643+1.p, Sat
LCL/LCL667+1.001.p, Sat
HWV/HWV121+1.p, Sat
SWW/SWW969+1.p, Sat
SYN/SYN433+1.p, Sat
NLP/NLP183+1.p, Sat
KRS/KRS227+1.p, Sat
SWB/SWB031+4.p, Sat
COM/COM014+4.p, Sat
NLP/NLP036+1.p, Sat
SYN/SYN544+1.p, Sat
CSR/CSR198+1.p, Sat
NLP/NLP221+1.p, Sat
NLP/NLP104+1.p, Sat
LCL/LCL675+1.005.p, Sat
CSR/CSR175+1.p, Sat
SWB/SWB018+3.p, Sat
NLP/NLP023+1.p, Sat
SYO/SYO644+1.p, Sat
SWW/SWW856+1.p, Sat
KRS/KRS054+1.p, Sat
SYO/SYO738+1.p, Sat
KRS/KRS176+1.p, Sat
SWW/SWW103+1.p, Sat
LCL/LCL651+1.020.p, Sat
HWV/HWV054+1.p, Sat
SYO/SYO735+1.p, Sat
KRS/KRS282+1.p, Sat
SYO/SYO768+1.p, Sat
SWW/SWW902+1.p, Sat
SYO/SYO803+1.p, Sat
HWV/HWV049+1.p, Sat
LCL/LCL677+1.020.p, Sat
PRD/PRD003+1.p, Sat
SYN/SYN494+1.p, Sat
NLP/NLP166+1.p, Sat
NLP/NLP100+1.p, Sat
NLP/NLP029+1.p, Sat
NUM/NUM351+1.p, Sat
SYN/SYN534+1.p, Sat
NLP/NLP163+1.p, Sat
SWW/SWW875+1.p, Sat
SYN/SYN425+1.p, Sat
SWW/SWW936+1.p, Sat
PHI/PHI042+1.p, Sat
HWV/HWV080+1.p, Sat
NLP/NLP179+1.p, Sat
SYN/SYN453+1.p, Sat
NLP/NLP003+1.p, Sat
SWW/SWW860+1.p, Sat
SWV/SWV012+1.p, Sat
LCL/LCL647+1.001.p, Sat
SYO/SYO743+1.p, Sat
SYO/SYO640+1.p, Sat
KRS/KRS057+1.p, Sat
HAL/HAL003+1.p, Sat
NUM/NUM357+1.p, Sat
SYN/SYN429+1.p, Sat
KRS/KRS025+1.p, Sat
SYN/SYN524+1.p, Sat
LCL/LCL643+1.005.p, Sat
LCL/LCL659+1.010.p, Sat
SWV/SWV482+1.p, Sat
HWV/HWV048+2.p, Sat
SYN/SYN419+1.p, Sat
NLP/NLP248+1.p, Sat
NLP/NLP035+1.p, Sat
SWB/SWB020+4.p, Sat
NLP/NLP250+1.p, Sat
SWW/SWW861+1.p, Sat
HAL/HAL005+1.p, Sat
SYN/SYN344+1.p, Sat
NLP/NLP107+1.p, Sat
LCL/LCL657+1.010.p, Sat
SYN/SYN725+1.p, Sat
NLP/NLP212+1.p, Sat
SWW/SWW918+1.p, Sat
KRS/KRS247+1.p, Sat
SYO/SYO806+1.p, Sat
LCL/LCL665+1.001.p, Sat
LCL/LCL576+1.p, Sat
PRO/PRO007+4.p, Sat
NLP/NLP108+1.p, Sat
GRP/GRP788+1.p, Sat
NLP/NLP223+1.p, Sat
SYO/SYO814+1.p, Sat
KRS/KRS222+1.p, Sat
SYN/SYN430+1.p, Sat
LCL/LCL671+1.001.p, Sat
NLP/NLP076+1.p, Sat
NLP/NLP058+1.p, Sat
MGT/MGT040+2.p, Sat
LCL/LCL677+1.010.p, Sat
SWV/SWV485+2.p, Sat
SWW/SWW866+1.p, Sat
KLE/KLE050+2.p, Sat
NLP/NLP078+1.p, Sat
KLE/KLE050+4.p, Sat
KRS/KRS226+1.p, Sat
SYO/SYO723+1.p, Sat
NLP/NLP018+1.p, Sat
NLP/NLP040+1.p, Sat
SYO/SYO725+1.p, Sat
NLP/NLP115+1.p, Sat
NUN/NUN079+2.p, Sat
HWV/HWV085+1.p, Sat
SYO/SYO581+1.p, Sat
LCL/LCL639+1.010.p, Sat
KRS/KRS207+1.p, Sat
LCL/LCL657+1.005.p, Sat
NLP/NLP006+1.p, Sat
SWW/SWW908+1.p, Sat
NLP/NLP186+1.p, Sat
SYO/SYO835+1.p, Sat
SYN/SYN463+1.p, Sat
NUM/NUM358+1.p, Sat
PLA/PLA029+2.p, Sat
SWV/SWV018+1.p, Sat
LCL/LCL661+1.010.p, Sat
SWW/SWW849+1.p, Sat
SWB/SWB036+1.p, Sat
NLP/NLP025+1.p, Sat
NLP/NLP021+1.p, Sat
PRO/PRO007+1.p, Sat
SYN/SYN449+1.p, Sat
SYO/SYO758+1.p, Sat
KRS/KRS223+1.p, Sat
SYN/SYN516+1.p, Sat
LCL/LCL687+1.010.p, Sat
NLP/NLP002+1.p, Sat
SWV/SWV129+1.p, Sat
CSR/CSR155+1.p, Sat
HWV/HWV082+1.p, Sat
SYO/SYO696+1.p, Sat
LCL/LCL663+1.020.p, Sat
LCL/LCL653+1.005.p, Sat
GRA/GRA015+1.p, Sat
SYN/SYN536+1.p, Sat
SYO/SYO786+1.p, Sat
SYN/SYN432+1.p, Sat
KRS/KRS220+1.p, Sat
PUZ/PUZ068+1.p, Sat
NLP/NLP015+1.p, Sat
NLP/NLP085+1.p, Sat
NLP/NLP213+1.p, Sat
KRS/KRS285+1.p, Sat
NLP/NLP066+1.p, Sat
SYN/SYN532+1.p, Sat
KRS/KRS027+1.p, Sat
HWV/HWV042+1.p, Sat
SET/SET783+1.p, Sat
NLP/NLP239+1.p, Sat
NUM/NUM360+1.p, Sat
PHI/PHI031+1.p, Sat
NLP/NLP116+1.p, Sat
KRS/KRS044+1.p, Sat
NLP/NLP112+1.p, Sat
NLP/NLP187+1.p, Sat
NLP/NLP020+1.p, Sat
KRS/KRS026+1.p, Sat
GRP/GRP816+1.p, Sat
HWV/HWV079+1.p, Sat
SYO/SYO766+1.p, Sat
HAL/HAL007+1.p, Sat
NLP/NLP171+1.p, Sat
SWW/SWW883+1.p, Sat
HWV/HWV073+1.p, Sat
GEO/GEO211+3.p, Sat
SWV/SWV013+1.p, Sat
NLP/NLP084+1.p, Sat
KRS/KRS279+1.p, Sat
SYO/SYO750+1.p, Sat
KRS/KRS021+1.p, Sat
SWB/SWB006+3.p, Sat
PRO/PRO013+2.p, Sat
LCL/LCL655+1.001.p, Sat
NUM/NUM562+3.p, Sat
SYO/SYO583+1.p, Sat
SWB/SWB032+4.p, Sat
NLP/NLP090+1.p, Sat
LAT/LAT386+1.p, Sat
NLP/NLP229+1.p, Sat
SWW/SWW863+1.p, Sat
LCL/LCL655+1.005.p, Sat
NLP/NLP203+1.p, Sat
GRP/GRP798+1.p, Sat
NLP/NLP064+1.p, Sat
NLP/NLP037+1.p, Sat
NUM/NUM365+1.p, Sat
SYO/SYO639+1.p, Sat
NUN/NUN079+1.p, Sat
NLP/NLP178+1.p, Sat
SWB/SWB034+1.p, Sat
KRS/KRS039+1.p, Sat
GRP/GRP792+1.p, Sat
SWV/SWV015+1.p, Sat
SWB/SWB016+3.p, Sat
NLP/NLP222+1.p, Sat
LCL/LCL908+1.p, Sat
SYN/SYN434+1.p, Sat
SWB/SWB017+4.p, Sat
SWV/SWV439+1.p, Sat
LCL/LCL673+1.015.p, Sat
KLE/KLE050+3.p, Sat
SYO/SYO824+1.p, Sat
NLP/NLP069+1.p, Sat
PHI/PHI018+1.p, Sat
KRS/KRS038+1.p, Sat
NLP/NLP074+1.p, Sat
NUM/NUM374+4.p, Sat
KLE/KLE175+1.p, Sat
GRP/GRP733+1.p, Sat
PHI/PHI033+1.p, Sat
SEU/SEU233+1.p, Sat
GRP/GRP818+1.p, Sat
SWB/SWB006+4.p, Sat
SYO/SYO777+1.p, Sat
NLP/NLP123+1.p, Sat
SYO/SYO747+1.p, Sat
NUM/NUM443+1.p, Sat
PUZ/PUZ071+1.p, Sat
SYO/SYO717+1.p, Sat
HWV/HWV066+1.p, Sat
KRS/KRS224+1.p, Sat
MGT/MGT066+1.p, Sat
